id_transacao,id_conta,tipo,direcao,valor,moeda,contraparte,descricao,data_solicitacao,data_conclusao,status
caf6707d-7fc8-433a-b36f-c45a97e48d76,28712751-6b66-486b-9b6e-c959c078135e,pix_recebido,debito,32898.43,brl,b7fd94bd-f080-4084-86be-d5cb746a6fa6,Compra no iFood,2023-05-14T06:29:14Z,,pendente
e9734d9d-056f-4bf3-bbe3-a3b00a845098,e44bbbcc-f507-472a-b061-9ccd4a79b4ef,doc,,-12597.76,,c500e48b-04b8-420b-a304-473b20836693,Transferência,22/02/2020 22:34:50,,failed
ef30c66b-8842-41ff-932e-f007e8e45798,b79d3819-d07d-4107-a51a-afc448bb4bc9,withdrawal,IN,883.42,reais,,,2022-07-26 21:30:04,,estornada
fe32b8d0-deb6-4808-80b4-3d5d1f9af739,ab44e18e-63ff-4b5c-aa09-762b85db23fc,fee,,37862.53,BRL,e44bbbcc-f507-472a-b061-9ccd4a79b4ef,Transferência,23/05/2020 09:15:47,,pending
7cf8dcd0-aab4-4677-a7c4-f474d3ef3e69,5ccec956-1b81-404e-b904-4d721a107ed4,taxa_manutencao,entrada,36963.04,brl,871447ba-fa0e-4b60-b8ff-31b19bb34de4,Netflix,2019-06-05T07:59:46Z,2019-06-05 17:49:46,completed
641d4a2d-aeca-4238-b993-83bc1f2caaf3,2f6781b5-8aaa-4914-b7ab-fe7052be25f8,withdrawal,,-17137.08,,8da07cc1-39b6-408e-ba99-768914d7e83d,PIX para fulano,2019-04-08T07:54:46Z,,pendente
fc847a37-4bb8-43d1-b3da-eb8bad0fb54a,945d2122-258f-4c19-a313-2c32826bc3ee,taxa_manutencao,,-31489.5,reais,e75129ba-699a-4836-a60a-e5c4e613cd42,Transferência,2023-04-12 16:20:11,2023-04-12 20:37:11,completed
f8a176fa-d327-4a83-9e40-af1ec06d33e1,6be9ce86-f40a-4385-bc83-de9f146e1a03,pagamento_boleto,,-11816.27,reais,,Netflix,2020-12-12 18:35:53,,pendente
154a96b8-c204-4207-ae15-e3e70f1ec0d4,0df7f9a6-abb0-47f6-860c-aaf3541d4639,taxa_manutencao,,-48386.32,pesos_co,,Netflix,2021-10-16 09:18:36,,falha
10ebb86c-c90e-4fd7-a0ce-be4280ee6413,adb5c9fd-66f6-4d70-ba92-fdc9514503d5,fee,IN,38016.46,reais,Bradesco,Transferência,13/12/2023 13:32:39,,estornada
